1	▲ 0	Nicholas - Pickle	2548	148	206	175	170	159	208	105	116	107	131	162	112	117	171	177	130	154
2	▲ 3	Matthew - Matty B	2543	121	195	111	145	175	179	119	134	125	155	161	116	153	168	152	131	203
3	▲ 0	Michael - Lysdexia	2529	175	194	147	158	133	189	105	88	117	119	143	142	135	148	209	149	178
4	▲ 3	Jonathan - I have no Will Power	2517	160	194	147	152	165	194	133	93	119	150	112	150	68	145	163	181	191
5	▲ 5	Alec - StingRobb RayPants	2512	117	190	166	162	169	166	139	91	131	132	157	112	142	122	172	142	202
6	▲ 2	Mark - Greatest Spectacle	2505	170	184	125	158	141	166	148	124	119	155	102	134	140	170	150	140	179
7	▼ -3	Calvin and Heather - Kiss our Assphalt	2502	105	178	179	157	171	206	114	110	150	142	151	140	90	134	151	162	162
8	▼ -6	Jason - Dallara and Firestone's Dad	2495	141	193	175	141	151	215	131	106	121	167	162	102	137	161	156	116	120
9	▼ -3	Bob - Lysdexia's aDd	2459	170	169	151	153	136	208	139	124	119	139	161	86	118	177	155	126	128
10	▼ -1	Andy - DoctorMolecule Racing	2450	149	198	165	152	182	211	139	80	107	155	162	91	117	161	107	144	130
11	▲ 1	Steven - The Burchyard	2447	136	184	110	155	115	189	149	130	131	153	130	124	100	151	172	147	171
12	▲ 3	Steve - Backmarkers	2435	152	205	147	152	122	187	107	99	131	124	128	101	115	146	174	170	175
13	▲ 1	Seth - Rocky Mountain Racers	2404	139	177	150	130	110	189	100	107	140	125	151	138	139	153	190	124	142
14	▼ -3	Tyler - HelioHead	2402	134	164	166	155	165	193	102	89	117	104	171	117	127	162	180	139	117
15	▲ 10	Andy - Podium Pick'em Special	2374	151	195	183	143	153	194	133	122	150	128	57	44	123	138	158	130	172
16	▼ -3	Todd - Hertamania	2368	110	169	147	160	155	190	105	85	95	177	136	100	142	168	163	161	105
17	▲ 3	Teresa - Sparki’s Squad	2362	136	164	167	160	125	181	88	83	128	165	112	142	117	132	180	136	146
18	▲ 0	Bob  - Indygriller	2360	167	183	147	64	186	211	96	100	145	99	137	127	177	107	139	135	140
19	▲ 2	Adam - 5536SparkPlugger	2359	129	172	94	171	74	189	124	145	129	165	143	110	89	167	198	114	146
20	▲ 6	Steven - Whooshmobiles	2353	161	205	147	158	138	187	94	106	132	92	132	135	107	166	116	116	161
21	▼ -5	Ethan - 3than	2351	141	184	116	129	138	162	114	142	136	139	162	148	134	146	143	123	94
22	▲ 8	P.D. - Cohiba Racing	2351	121	167	126	148	99	188	110	131	107	167	162	102	130	132	147	136	178
23	▼ -6	Mark - Radioactive RN Racing	2348	126	195	137	138	129	208	144	105	134	177	138	97	115	147	135	119	104
24	▼ -5	Dan - Woodside Racing	2346	153	200	147	152	129	206	119	98	121	112	142	118	135	128	116	140	130
25	▼ -1	Billy - Donkey Brain	2342	140	162	147	139	93	178	150	116	106	139	138	113	177	151	117	136	140
26	▲ 5	William - Mr. Spin to win	2342	81	144	138	143	145	194	108	111	78	178	129	136	107	165	156	159	170
27	▼ -4	Phil - Track Hot	2341	119	200	158	153	142	195	122	87	119	140	119	123	151	132	106	141	134
28	▲ 8	Joe - Wombat Wacing	2332	110	205	116	143	129	171	127	156	87	137	145	137	81	122	149	126	191
29	▲ 3	Alex - OVAL OVERLORD	2331	143	194	157	158	114	148	139	89	100	163	141	101	90	150	112	170	162
30	▼ -1	Nicholas - Your Honda's Unser My Chevy	2315	112	184	114	150	128	189	121	126	78	139	151	107	160	152	135	129	140
31	▲ 9	Joshua  - SSR	2307	153	194	47	148	140	201	148	108	88	100	156	98	140	153	182	60	191
32	▲ 1	Billy - Dixon for Seven	2294	132	179	122	150	114	164	125	124	166	160	103	109	153	123	97	147	126
33	▼ -6	Dave - Two Birds in Will Power's Hands	2289	111	205	175	141	149	142	150	129	128	155	102	90	118	126	116	149	103
34	▲ 3	Patrick - Penske is my Father	2289	147	178	147	157	126	180	139	88	65	116	106	88	109	152	156	173	162
35	▲ 0	Jennifer - Racing Photographer	2283	125	136	85	140	120	161	87	126	116	154	123	157	145	121	197	154	136
36	▲ 3	Gina - Danica Patrick	2276	143	49	137	153	142	155	127	126	132	179	124	105	132	169	121	127	155
37	▼ -9	Andi - Red Poncho in Canada	2275	144	143	111	138	180	172	72	162	74	132	127	111	129	161	185	134	100
38	▼ -16	Tyler - Cheeseballers	2253	145	174	161	165	145	190	105	125	144	125	125	118	140	138	57	151	45
39	▼ -1	Andrew - Clutch and Chill	2226	105	179	146	170	140	190	114	101	125	169	163	86	139	95	57	142	105
40	▲ 3	Diana - Baby Got Track	2225	147	114	92	120	126	179	114	122	137	126	104	134	128	138	127	174	143
41	▲ 5	Robert - (PA) Posse in Effect	2215	57	200	118	64	53	175	107	117	126	163	149	132	125	153	154	174	148
42	▲ 2	Doug - Bignotti’s Spanner	2207	141	49	126	155	169	189	97	99	116	167	151	105	106	152	113	142	130
43	▲ 5	Craig - Red Flag Lap 199	2202	144	159	110	133	145	152	120	143	75	89	138	98	163	152	95	140	146
44	▼ -10	Lauryn - Larry’s Lightning Laps	2200	104	194	126	142	137	175	149	93	88	131	133	126	139	154	134	130	45
45	▲ 4	Josh - Pit Crews Fault	2194	151	179	140	162	136	155	92	96	52	148	127	101	91	143	147	136	138
46	▲ 7	Troy - Racing 4 the future	2189	133	133	129	131	101	158	81	152	129	142	122	123	93	121	135	157	149
47	▲ 10	Jeff  - Masters of faster	2177	142	133	114	172	169	168	128	86	116	123	57	44	117	157	160	122	169
48	▼ -3	Greg & Charlie - The Apex Predators	2172	108	152	133	160	127	139	108	104	116	166	116	116	105	164	133	128	97
49	▲ 2	Trent - Cincy3way	2164	107	169	133	124	153	203	124	117	82	147	142	115	147	83	148	60	110
50	▼ -9	Jacen - Dr4gons	2157	137	118	175	173	53	191	113	122	146	61	163	85	122	148	143	162	45
51	▼ -9	Renee - Speedway Ray	2146	134	138	140	161	132	142	122	142	113	94	158	115	117	138	129	126	45
52	▲ 3	Nicki - Kiwi management	2144	114	154	129	107	112	195	170	119	92	148	136	113	56	104	110	159	126
53	▲ 3	Matthew - Cars with Stripes Go Faster	2143	170	97	91	64	98	154	111	149	134	135	72	106	195	150	147	140	130
54	▼ -7	Jeffrey - Prime47Boiler	2142	115	160	157	160	95	196	124	136	119	139	57	44	140	178	117	120	85
