1	▲ 0	Matt - Team Nash	2684	184	158	195	163	115	145	118	142	173	147	153	67	172	121	147	158	186	140
2	▲ 0	Michael - Lysdexia	2666	199	130	195	154	113	168	123	142	159	137	159	147	172	137	103	157	141	130
3	▲ 0	Tony - DICE Motorsports	2649	180	171	195	126	169	155	128	120	173	123	157	104	188	146	103	136	143	132
4	▲ 2	Bob - Lysdexia's aDd	2640	198	154	195	154	134	172	151	85	144	143	114	126	159	121	173	115	141	161
5	▲ 0	Joshua - MBC Racing	2617	165	148	195	144	133	131	132	113	173	134	152	141	146	126	179	164	103	138
6	▲ 2	Matthew - Final Piece of the Puzzle	2609	177	154	171	159	90	173	136	151	136	104	118	126	161	158	162	163	138	132
7	▲ 2	Nicholas - Pickle	2594	184	166	195	178	108	173	130	117	157	149	114	116	172	152	104	130	119	130
8	▼ -4	Sam - My Mick Stings	2593	175	165	170	150	169	97	143	138	176	119	144	157	135	154	82	127	188	104
9	▼ -2	Alec - StingRobb RayPants	2592	166	136	195	138	141	145	146	112	148	128	174	131	149	153	157	138	121	114
10	▲ 1	Doug - Bignotti’s Spanner	2576	195	118	195	164	147	146	171	105	147	104	153	144	155	182	103	83	103	161
11	▲ 1	Andy - DoctorMolecule Racing	2566	163	118	195	178	118	173	116	99	139	146	144	132	185	127	113	136	129	155
12	▲ 1	Teresa - Lady in the Beer Hat	2564	180	135	173	141	175	145	127	122	107	130	152	133	161	124	102	142	158	157
13	▲ 2	Billy - Donkey Brain	2560	164	136	195	136	118	168	127	99	167	146	159	123	141	115	140	138	117	171
14	▲ 3	Mike - Prach Motors	2540	198	154	195	141	126	110	168	122	107	129	107	128	165	146	110	140	133	161
15	▲ 1	Rick - Indy on a Shoestring	2527	190	171	141	151	90	144	148	97	150	118	151	137	175	104	115	157	144	144
16	▼ -6	Jeffrey - Prime47Boiler	2525	198	148	195	178	147	145	151	103	128	123	165	130	149	54	140	161	141	69
17	▼ -3	William - Mr. Spin and Win	2520	180	140	195	144	161	141	157	138	61	129	157	141	149	180	109	102	105	131
18	▲ 0	Patrick - Dampfishbone	2510	194	136	195	163	116	141	139	131	150	138	161	107	145	127	108	115	110	134
